Momento	Tiempo
dina cm	s
1.9E27	16
8E26	16
3.45E26	6
1.9E27	15
1E27	17
6.34E26	8
7.2E26	15
1.5E26	10
3.6E27	16
3.6E27	16
1.2E27	13
2E26	10
1.9E24	1.3
1.31E24	0.85
3.6E23	1.1
2.5E24	0.65
1.1E25	1.5
1E23	0.55
7.5E22	0.38
1E24	1
3E23	0.3
7E23	0.7
1E24	1
2E24	1.8
1E24	0.8
1E24	1
1E25	3.75
2.77E25	4.3
5.8E24	1.75
2.2E24	2.3
2.8E25	5.6
1.4E25	2.8
1.4E25	2.8
3.7E20	0.15
1.11E27	13.6
1E22	0.38
7E26	15
2E21	0.13
6E21	0.22
7E20	0.06
8.9E23	1.9
6.6E23	0.94
6.1E26	18
1E21	0.2
1.2E24	0.9
1.4E22	0.18
4E22	0.5
4E21	0.45
1.6E21	0.15
2.4E21	0.15
2.5E21	0.18
8E20	0.14
2.4E22	0.4
1E22	0.4
2.5E22	0.4
4E22	0.2
1.6E23	0.67
1E26	7
3.1E25	2.5
5.3E25	3
4E23	1
1E23	0.5
1.2E24	1.2
4.8E23	0.7
7.2E23	0.7
1.4E24	1.6
1.7E23	0.8
8.3E22	0.7
2.1E23	0.71
