Momento	Superficie
dina cm	km2
7.9E28	5184
4.1E26	300
1.3E28	1216
2.89E26	180
7.4E24	35
5.1E28	4200
9.5E27	765
5.2E25	56
3E26	160
1.1E26	187
6.3E24	25
2.73E28	1800
2.7E26	350
2.6E25	66
9.7E25	91
1E27	400
7.8E27	2200
1.2E27	240
3.8E25	30
3.6E26	180
4E26	180
1.75E26	154
1.04E27	238
7.8E24	18
8E23	9.5
4E28	1800
2E24	6
1.6E24	11
1.8E28	1430
4.2E25	25
2.96E27	600
7.2E26	198
4.38E27	600
3.45E27	900
1.4E26	150
3.4E26	100
7.5E25	50
1.18E26	80
3.5E24	4
3.1E28	3341
1.95E27	600
6E26	190
2.07E27	1152
1.76E28	1680
1.3E27	360
4E26	96
8.4E26	242
2.9E25	45
2.9E25	42
8.2E24	20
1.89E28	2400
7.6E25	168
1.32E27	500
5.02E26	392
7.5E25	50
7.4E24	27
1.37E28	1628
1.8E25	38
2.41E24	24
3.29E27	1450
1.67E26	96
5.1E25	140
1.5E24	4
6.3E25	110
7.12E26	612
6E25	138
4.1E24	6
6.4E24	19
1.09E26	99
4.5E26	224
4.3E26	140
4.3E24	20
5.08E27	825
2.6E27	900
1.01E27	690
1E25	42
1E27	480
2.65E26	468
2.4E25	22
1.7E24	7.5
3.64E26	140
4.1E26	405
1.5E25	52
2.4E24	4
2.8E27	660
1.4E27	800
1.6E24	15
3.4E26	378
3E26	208
3.5E25	85
1.12E26	40
6.4E25	48
2.6E26	104
1.02E25	9
6.2E25	49
7.2E25	256
6.93E27	750
7.9E27	1104
1.53E26	166
1.02E27	512
1.11E26	273
1.5E27	680
1.5E25	55
2.3E24	3
2.3E25	48
3.2E25	22
4E26	480
1.73E26	144
7.3E25	56
3.2E26	220
8.9E25	210
4.5E25	45
1.1E28	1248
2.1E25	28
6.3E26	448
3.1E24	5
3.6E24	16
3.8E24	30
1.04E26	30
2.6E26	360
9.2E26	330
2.8E26	117
4.1E26	117
8.2E26	228
5.47E27	1600
6.4E25	230
3.1E24	10
1.53E27	418
1.1E25	20
2.67E28	640
1.04E26	150
1.04E26	50
4.05E26	228
2.7E25	28
4.6E28	2400
1.1E25	16
9.2E24	33
3E25	20
2.9E26	195
1.14E28	744
1.16E27	200
3.8E25	36
1.6E24	50
1.5E26	117
6.8E27	4500
1.85E28	7000
1.2E28	4400
8.2E27	6540
1.5E28	5200
